,Country,Commodity,Commodity (Type),Year,Exports (Extra-EU) (THOUSAND TONS),Exports (Intra-EU) (THOUSAND TONS),Imports (Extra-EU) (THOUSAND TONS),Imports (Intra-EU) (THOUSAND TONS),Total Exports (THOUSAND TONS),Total Imports (THOUSAND TONS),Area (SQ.KM.),Total Population (THOUSAND PEOPLE)
380,Austria,FRESH DAIRY PRODUCTS,DAIRY,2010,8.220296,867.822118,0.588833,155.854101999999,876.042414,156.44293499999898,83871,8350.976
381,Austria,FRESH DAIRY PRODUCTS,DAIRY,2011,6.283768,896.282482,0.493188,143.605745999999,902.56625,144.098933999999,83871,8374.682
382,Austria,FRESH DAIRY PRODUCTS,DAIRY,2012,5.286368,973.467959,0.568547,144.625348,978.754327,145.193895,83871,8407.717
383,Austria,FRESH DAIRY PRODUCTS,DAIRY,2013,4.17992199999999,950.8831,0.571804,127.38942,955.063022,127.961224,83871,8451.556
384,Austria,FRESH DAIRY PRODUCTS,DAIRY,2014,3.931898,913.439439,0.371164,161.729978,917.371337,162.10114199999998,83871,8507.522
385,Austria,FRESH DAIRY PRODUCTS,DAIRY,2015,6.47939499999999,879.33502,0.578037,182.190592,885.8144149999999,182.768629,83871,8584.609
386,Austria,FRESH DAIRY PRODUCTS,DAIRY,2016,8.399382,781.120411,0.342121,226.790651999999,789.5197929999999,227.132772999999,83871,8700.233
387,Austria,FRESH DAIRY PRODUCTS,DAIRY,2017,11.323875,796.997989,0.168325,240.076531,808.321864,240.244856,83871,8772.74
388,Austria,FRESH DAIRY PRODUCTS,DAIRY,2018,16.198097,760.436848999999,0.182728,233.868851,776.634945999999,234.051579,83871,8822.252
389,Austria,FRESH DAIRY PRODUCTS,DAIRY,2019,28.2287459999999,737.515723,0.184933,159.784882,765.7444689999999,159.969815,83871,8858.773
390,Austria,FRESH DAIRY PRODUCTS,DAIRY,2020,43.893779,734.936467,0.32794,170.008098,778.830246,170.336038,83871,8901.106
